benchmark,version,size,corr_energy_time,p_energy_time,corr_energy_cpu,p_energy_cpu,corr_energy_mem,p_energy_mem
basic_string,g8,large,0.44985010232324774,0.19207569672258748,0.41818181818181815,0.22911284098281884,0.6242424242424242,0.05371776721716743
basic_string,g8,small,0.6853027025833884,0.02873431018324848,-0.5272727272727272,0.11730806555020222,-0.11515151515151514,0.7514196523258483
basic_string,opt,large,0.45454545454545453,0.18690481034933193,0.44242424242424233,0.20042268671194216,0.054545454545454536,0.8810361811618526
basic_string,opt,small,0.7655239617588308,0.009854697352237294,-0.3818181818181818,0.2762553333854361,0.5878787878787879,0.07387770688865797
diophantine_equation,baseline,large,0.30309409216963296,0.39460669410042293,-0.1823716631040194,0.6140677514955037,0.26060606060606056,0.4670890543863403
diophantine_equation,baseline,small,-0.31139957766460924,0.3811134425448903,-0.41818181818181815,0.22911284098281884,0.10303030303030301,0.7769984634438898
diophantine_equation,g1,large,0.3084435454322494,0.3858897015550593,-0.04242424242424242,0.9073638178128158,0.19999999999999996,0.5795840000000001
diophantine_equation,g1,small,0.22193343428706103,0.5377342555572788,0.19999999999999996,0.5795840000000001,-0.5272727272727272,0.11730806555020222
diophantine_equation,g6,large,-0.4045199174779453,0.2462496191294497,0.0303030303030303,0.9337729580941467,-0.406060606060606,0.24428229408662663
diophantine_equation,g6,small,-0.11096671714353051,0.7602272902237965,-0.17575757575757575,0.6271883447764844,0.054545454545454536,0.8810361811618526
diophantine_equation,g9,large,-0.12483755678647183,0.7311340232557361,-0.10303030303030301,0.7769984634438898,0.43030303030303024,0.21449233253280775
diophantine_equation,g9,small,0.08404606389858067,0.8174424145389814,-0.19999999999999996,0.5795840000000001,0.8666666666666666,0.0011735381801554663
diophantine_equation,opt,large,-0.26967994498529685,0.4511390079856624,-0.26060606060606056,0.4670890543863403,-0.18787878787878787,0.6032176100292088
diophantine_equation,opt,small,0.21933763230737732,0.5426230169178428,0.47878787878787876,0.16152292801745585,0.054545454545454536,0.8810361811618526
fib,baseline,large,0.14167668282961585,0.6962284519772399,-0.12727272727272726,0.7260570147627895,0.17575757575757575,0.6271883447764844
fib,baseline,small,0.2956526210250958,0.4068885692505003,-0.18845071854082002,0.6020947513149706,0.024316221747202584,0.9468397049085094
fib,opt,large,-0.6633249580710799,0.036533764900917746,-0.23100410659842455,0.5207915330258046,0.5393939393939393,0.10759318778241472
fib,opt,small,-0.4045199174779453,0.2462496191294497,0.00606060606060606,0.9867429111949891,0.5030303030303029,0.13833369839449197
geometry,baseline,large,0.445130226322946,0.19735705415316046,-0.03039527718400323,0.9335717251179996,-0.10303030303030301,0.7769984634438898
geometry,baseline,small,0.27247463045653303,0.446276719783402,0.47878787878787876,0.16152292801745585,0.39393939393939387,0.2599977668348876
geometry,g1,large,0.42683720332337294,0.218616614112552,-0.5636363636363636,0.08972402831709139,-0.13939393939393938,0.7009318849100583
geometry,g1,small,-0.5741633988358116,0.08259893568618233,0.04242424242424242,0.9073638178128158,0.41818181818181815,0.22911284098281884
geometry,g6,large,0.37043389328831805,0.2920137866294625,-0.05471149893120581,0.8806762012346143,0.33333333333333326,0.34659350708733433
geometry,g6,small,-0.23686261018551685,0.509967066486079,0.04242424242424242,0.9073638178128158,0.13939393939393938,0.7009318849100583
geometry,g7,large,0.43561561458929265,0.20825788700156503,-0.406060606060606,0.24428229408662663,0.2727272727272727,0.44583834154275137
geometry,g7,small,0.4794310133071944,0.1608795143669835,0.19999999999999996,0.5795840000000001,0.33333333333333326,0.34659350708733433
geometry,g9,large,0.43427157442838255,0.20982514389488152,-0.7575757575757575,0.011143446799694262,-0.018181818181818177,0.9602404181286244
geometry,g9,small,-0.07808688094430305,0.8302226980942539,0.5349568784384569,0.11108833030248288,0.6018264882432639,0.06564599213625302
geometry,opt,large,0.3025210128521264,0.3955461179844162,-0.45454545454545453,0.18690481034933193,-0.1636363636363636,0.6514773427962428
geometry,opt,small,0.14167668282961585,0.6962284519772399,0.45454545454545453,0.18690481034933193,0.3454545454545454,0.3282265114713673
inline,baseline,large,0.26967994498529685,0.45113900798566253,0.2121212121212121,0.5563057751029297,-0.10303030303030301,0.7769984634438898
inline,baseline,small,0.03467709910735329,0.9242349970250521,-0.10303030303030301,0.7769984634438898,0.17575757575757575,0.6271883447764844
inline,opt,large,-0.38924947208076155,0.26622407306922685,-0.5636363636363636,0.08972402831709139,0.5515151515151514,0.09840117666963506
inline,opt,small,0.5715374460740158,0.08434089596352588,-0.7659609850368814,0.00978703990340832,0,1
jacobi_iteration_method,baseline,large,0.4211515439105538,0.22547992025864813,-0.06666666666666667,0.8548130882487426,0.18787878787878787,0.603217610029209
jacobi_iteration_method,baseline,small,0.3503245248726853,0.320992148665883,0.06666666666666667,0.8548130882487426,0.06666666666666667,0.8548130882487426
jacobi_iteration_method,g1,large,0.2688813217767106,0.4525328538530573,0.11515151515151514,0.7514196523258485,0.0909090909090909,0.8027717312071618
jacobi_iteration_method,g1,small,0.7500572368731993,0.012467393090512839,0.49090909090909085,0.14965567342083677,0.1636363636363636,0.6514773427962426
jacobi_iteration_method,g3,large,0.445130226322946,0.19735705415316046,-0.2127669402880226,0.5550759959985578,-0.6848484848484847,0.02888279750673284
jacobi_iteration_method,g3,small,0.4123564947807647,0.23633475802839896,-0.39393939393939387,0.2599977668348876,0.3090909090909091,0.38484123026128325
jacobi_iteration_method,g5,large,0.3638527494714231,0.30133785895691856,0.32121212121212117,0.3654683104386705,0.8666666666666666,0.0011735381801554663
jacobi_iteration_method,g5,small,0.3178819766028755,0.3707415726692462,-0.33333333333333326,0.34659350708733433,0.5272727272727272,0.11730806555020236
jacobi_iteration_method,g6,large,0.4767312946227962,0.16359077045438755,-0.7696969696969695,0.009221952722216037,0.29696969696969694,0.4047016712701569
jacobi_iteration_method,g6,small,0.3965088288259145,0.25662100227571205,-0.43030303030303024,0.21449233253280775,0.612121212121212,0.05997214247725528
jacobi_iteration_method,opt,large,0.3503245248726853,0.320992148665883,-0.3090909090909091,0.38484123026128325,-0.04242424242424242,0.9073638178128158
jacobi_iteration_method,opt,small,0.3461585013559571,0.32717561483346985,0.5757575757575757,0.08155281477260244,-0.17575757575757575,0.6271883447764844
logic,baseline,large,0.45454545454545453,0.18690481034933193,0.10430233025377429,0.7743046543540668,0.43030303030303024,0.21449233253280775
